full_date,date_key,year,quarter,month_number,month_name,week_of_year,day_name,is_weekend,is_payday,month_start
2013-09-30,20130930,2013,Q3,9,September,40,Monday,0,1,2013-09-01
2013-10-01,20131001,2013,Q4,10,October,40,Tuesday,0,0,2013-10-01
2013-10-02,20131002,2013,Q4,10,October,40,Wednesday,0,0,2013-10-01
2013-10-03,20131003,2013,Q4,10,October,40,Thursday,0,0,2013-10-01
2013-10-04,20131004,2013,Q4,10,October,40,Friday,0,0,2013-10-01
2013-10-05,20131005,2013,Q4,10,October,40,Saturday,1,0,2013-10-01
2013-10-06,20131006,2013,Q4,10,October,40,Sunday,1,0,2013-10-01
2013-10-07,20131007,2013,Q4,10,October,41,Monday,0,0,2013-10-01
2013-10-08,20131008,2013,Q4,10,October,41,Tuesday,0,0,2013-10-01
2013-10-09,20131009,2013,Q4,10,October,41,Wednesday,0,0,2013-10-01
2013-10-10,20131010,2013,Q4,10,October,41,Thursday,0,0,2013-10-01
2013-10-11,20131011,2013,Q4,10,October,41,Friday,0,0,2013-10-01
2013-10-12,20131012,2013,Q4,10,October,41,Saturday,1,0,2013-10-01
2013-10-13,20131013,2013,Q4,10,October,41,Sunday,1,0,2013-10-01
2013-10-14,20131014,2013,Q4,10,October,42,Monday,0,0,2013-10-01
2013-10-15,20131015,2013,Q4,10,October,42,Tuesday,0,1,2013-10-01
2013-10-16,20131016,2013,Q4,10,October,42,Wednesday,0,0,2013-10-01
2013-10-17,20131017,2013,Q4,10,October,42,Thursday,0,0,2013-10-01
2013-10-18,20131018,2013,Q4,10,October,42,Friday,0,0,2013-10-01
2013-10-19,20131019,2013,Q4,10,October,42,Saturday,1,0,2013-10-01
2013-10-20,20131020,2013,Q4,10,October,42,Sunday,1,0,2013-10-01
2013-10-21,20131021,2013,Q4,10,October,43,Monday,0,0,2013-10-01
2013-10-22,20131022,2013,Q4,10,October,43,Tuesday,0,0,2013-10-01
2013-10-23,20131023,2013,Q4,10,October,43,Wednesday,0,0,2013-10-01
2013-10-24,20131024,2013,Q4,10,October,43,Thursday,0,0,2013-10-01
2013-10-25,20131025,2013,Q4,10,October,43,Friday,0,0,2013-10-01
2013-10-26,20131026,2013,Q4,10,October,43,Saturday,1,0,2013-10-01
2013-10-27,20131027,2013,Q4,10,October,43,Sunday,1,0,2013-10-01
2013-10-28,20131028,2013,Q4,10,October,44,Monday,0,0,2013-10-01
2013-10-29,20131029,2013,Q4,10,October,44,Tuesday,0,0,2013-10-01
2013-10-30,20131030,2013,Q4,10,October,44,Wednesday,0,0,2013-10-01
2013-10-31,20131031,2013,Q4,10,October,44,Thursday,0,1,2013-10-01
2013-11-01,20131101,2013,Q4,11,November,44,Friday,0,0,2013-11-01
2013-11-02,20131102,2013,Q4,11,November,44,Saturday,1,0,2013-11-01
2013-11-03,20131103,2013,Q4,11,November,44,Sunday,1,0,2013-11-01
2013-11-04,20131104,2013,Q4,11,November,45,Monday,0,0,2013-11-01
2013-11-05,20131105,2013,Q4,11,November,45,Tuesday,0,0,2013-11-01
2013-11-06,20131106,2013,Q4,11,November,45,Wednesday,0,0,2013-11-01
2013-11-07,20131107,2013,Q4,11,November,45,Thursday,0,0,2013-11-01
2013-11-08,20131108,2013,Q4,11,November,45,Friday,0,0,2013-11-01
2013-11-09,20131109,2013,Q4,11,November,45,Saturday,1,0,2013-11-01
2013-11-10,20131110,2013,Q4,11,November,45,Sunday,1,0,2013-11-01
2013-11-11,20131111,2013,Q4,11,November,46,Monday,0,0,2013-11-01
2013-11-12,20131112,2013,Q4,11,November,46,Tuesday,0,0,2013-11-01
2013-11-13,20131113,2013,Q4,11,November,46,Wednesday,0,0,2013-11-01
2013-11-14,20131114,2013,Q4,11,November,46,Thursday,0,0,2013-11-01
2013-11-15,20131115,2013,Q4,11,November,46,Friday,0,1,2013-11-01
2013-11-16,20131116,2013,Q4,11,November,46,Saturday,1,0,2013-11-01
2013-11-17,20131117,2013,Q4,11,November,46,Sunday,1,0,2013-11-01
2013-11-18,20131118,2013,Q4,11,November,47,Monday,0,0,2013-11-01
2013-11-19,20131119,2013,Q4,11,November,47,Tuesday,0,0,2013-11-01
2013-11-20,20131120,2013,Q4,11,November,47,Wednesday,0,0,2013-11-01
2013-11-21,20131121,2013,Q4,11,November,47,Thursday,0,0,2013-11-01
2013-11-22,20131122,2013,Q4,11,November,47,Friday,0,0,2013-11-01
2013-11-23,20131123,2013,Q4,11,November,47,Saturday,1,0,2013-11-01
2013-11-24,20131124,2013,Q4,11,November,47,Sunday,1,0,2013-11-01
2013-11-25,20131125,2013,Q4,11,November,48,Monday,0,0,2013-11-01
2013-11-26,20131126,2013,Q4,11,November,48,Tuesday,0,0,2013-11-01
2013-11-27,20131127,2013,Q4,11,November,48,Wednesday,0,0,2013-11-01
2013-11-28,20131128,2013,Q4,11,November,48,Thursday,0,0,2013-11-01
2013-11-29,20131129,2013,Q4,11,November,48,Friday,0,0,2013-11-01
2013-11-30,20131130,2013,Q4,11,November,48,Saturday,1,1,2013-11-01
2013-12-01,20131201,2013,Q4,12,December,48,Sunday,1,0,2013-12-01
2013-12-02,20131202,2013,Q4,12,December,49,Monday,0,0,2013-12-01
2013-12-03,20131203,2013,Q4,12,December,49,Tuesday,0,0,2013-12-01
2013-12-04,20131204,2013,Q4,12,December,49,Wednesday,0,0,2013-12-01
2013-12-05,20131205,2013,Q4,12,December,49,Thursday,0,0,2013-12-01
2013-12-06,20131206,2013,Q4,12,December,49,Friday,0,0,2013-12-01
2013-12-07,20131207,2013,Q4,12,December,49,Saturday,1,0,2013-12-01
2013-12-08,20131208,2013,Q4,12,December,49,Sunday,1,0,2013-12-01
2013-12-09,20131209,2013,Q4,12,December,50,Monday,0,0,2013-12-01
2013-12-10,20131210,2013,Q4,12,December,50,Tuesday,0,0,2013-12-01
